ProteinID,Gene,Proximity_Shift_Score,p.value,adj.p.value,significance,significance_raw
Q9H3G5,CPVL,4.530662681,4.88E-06,0.010296837,Upregulated Proximity,Upregulated Proximity
P30533,LRPAP1,3.280773981,1.54E-05,0.01627252,Upregulated Proximity,Upregulated Proximity
P17050,NAGA,5.918456049,2.66E-05,0.018706683,Upregulated Proximity,Upregulated Proximity
P02765,AHSG,2.054513261,4.37E-05,0.023080115,Upregulated Proximity,Upregulated Proximity
O00468,AGRN,2.516712157,0.00014,0.036751845,Upregulated Proximity,Upregulated Proximity
P02647,APOA1,5.180367712,8.97E-05,0.036751845,Upregulated Proximity,Upregulated Proximity
P05362,ICAM1,1.851654574,0.000153817,0.036751845,Upregulated Proximity,Upregulated Proximity
P16422,EPCAM,3.119051145,0.00012741,0.036751845,Upregulated Proximity,Upregulated Proximity
Q8IV08,PLD3,5.248249334,0.000156613,0.036751845,Upregulated Proximity,Upregulated Proximity
P07237,P4HB,1.49269905,0.00019031,0.040107358,Upregulated Proximity,Upregulated Proximity
P11279,LAMP1,4.808027554,0.000265863,0.040107358,Upregulated Proximity,Upregulated Proximity
Q13438,OS9,2.659019186,0.000248806,0.040107358,Upregulated Proximity,Upregulated Proximity
Q14517,FAT1,3.07342396,0.00021386,0.040107358,Upregulated Proximity,Upregulated Proximity
Q9UHG3,PCYOX1,4.436077134,0.000238912,0.040107358,Upregulated Proximity,Upregulated Proximity
P54802,NAGLU,6.800975275,0.000303485,0.041442121,Upregulated Proximity,Upregulated Proximity
Q01082,SPTBN1,0.748400632,0.000313955,0.041442121,Not Significant,Not Significant
P35613,BSG,1.595297169,0.000337535,0.041933793,Upregulated Proximity,Upregulated Proximity
O60784,TOM1,1.377025619,0.000418746,0.042017231,Upregulated Proximity,Upregulated Proximity
P11117,ACP2,4.478261907,0.000413032,0.042017231,Upregulated Proximity,Upregulated Proximity
P20339,RAB5A,1.739380075,0.00041787,0.042017231,Upregulated Proximity,Upregulated Proximity
Q8NBN7,RDH13,2.870905335,0.000437679,0.042017231,Upregulated Proximity,Upregulated Proximity
P10909,CLU,5.3078893,0.000461283,0.042357846,Upregulated Proximity,Upregulated Proximity
P14314,PRKCSH,1.996115771,0.000559331,0.04543489,Upregulated Proximity,Upregulated Proximity
P61769,B2M,3.728748175,0.000547599,0.04543489,Upregulated Proximity,Upregulated Proximity
Q9BTY2,FUCA2,7.030548058,0.000557742,0.04543489,Upregulated Proximity,Upregulated Proximity
O95297,MPZL1,5.476143405,0.000772576,0.047453193,Upregulated Proximity,Upregulated Proximity
P00450,CP,2.325685117,0.000738632,0.047453193,Upregulated Proximity,Upregulated Proximity
P15848,ARSB,6.429164519,0.000707595,0.047453193,Upregulated Proximity,Upregulated Proximity
P48723,HSPA13,3.753515648,0.000785191,0.047453193,Upregulated Proximity,Upregulated Proximity
P78504,JAG1,3.932266382,0.00076743,0.047453193,Upregulated Proximity,Upregulated Proximity
Q16891,IMMT,3.343014005,0.00069799,0.047453193,Upregulated Proximity,Upregulated Proximity
Q86UP2,KTN1,3.299398908,0.000755423,0.047453193,Upregulated Proximity,Upregulated Proximity
Q8NBQ5,HSD17B11,2.996717325,0.000786393,0.047453193,Upregulated Proximity,Upregulated Proximity
Q9BSH4,TACO1,1.23467309,0.000610298,0.047453193,Upregulated Proximity,Upregulated Proximity
Q9Y2B0,CNPY2,2.573290948,0.000820741,0.04815011,Upregulated Proximity,Upregulated Proximity
P53634,CTSC,5.486796436,0.000857791,0.048963617,Upregulated Proximity,Upregulated Proximity
P20827,EFNA1,3.755051873,0.000896871,0.049847169,Upregulated Proximity,Upregulated Proximity
P04156,PRNP,4.702389476,0.000952944,0.051002611,Not Significant,Upregulated Proximity
P61916,NPC2,7.186648256,0.000990107,0.051002611,Not Significant,Upregulated Proximity
Q9BRK5,SDF4,5.00535837,0.000968643,0.051002611,Not Significant,Upregulated Proximity
P30101,PDIA3,1.194310882,0.001028853,0.051736593,Not Significant,Upregulated Proximity
P05067,APP,5.174815756,0.001089294,0.053502066,Not Significant,Upregulated Proximity
P35237,SERPINB6,3.722111164,0.001162124,0.055781934,Not Significant,Upregulated Proximity
Q15075,EEA1,1.486399764,0.001198473,0.056248311,Not Significant,Upregulated Proximity
P15289,ARSA,5.830655407,0.001343262,0.060873616,Not Significant,Upregulated Proximity
Q9H7Z7,PTGES2,3.934212963,0.001354669,0.060873616,Not Significant,Upregulated Proximity
P10253,GAA,5.617896943,0.001480964,0.063832576,Not Significant,Upregulated Proximity
Q13242,SRSF9,-0.891833056,0.00147871,0.063832576,Not Significant,Not Significant
Q9NQC3,RTN4,1.76119014,0.001512747,0.063898427,Not Significant,Upregulated Proximity
O14556,GAPDHS,4.089394175,0.001604864,0.065188749,Not Significant,Upregulated Proximity
O75882,ATRN,5.276886555,0.001697624,0.065188749,Not Significant,Upregulated Proximity
P04899,GNAI2,3.512378693,0.00162635,0.065188749,Not Significant,Upregulated Proximity
P16278,GLB1,7.377802371,0.001684107,0.065188749,Not Significant,Upregulated Proximity
Q9NR28,DIABLO,5.305560212,0.001695878,0.065188749,Not Significant,Upregulated Proximity
P56199,ITGA1,4.962546685,0.001764627,0.065631735,Not Significant,Upregulated Proximity
Q02818,NUCB1,2.922098337,0.001771311,0.065631735,Not Significant,Upregulated Proximity
P02794,FTH1,9.543134239,0.001806877,0.065795244,Not Significant,Upregulated Proximity
O75380,NDUFS6,3.801571222,0.002053018,0.067749609,Not Significant,Upregulated Proximity
P04040,CAT,1.464187852,0.002036173,0.067749609,Not Significant,Upregulated Proximity
P33908,MAN1A1,3.892855216,0.002028481,0.067749609,Not Significant,Upregulated Proximity
P84103,SRSF3,-1.130435954,0.002008401,0.067749609,Not Significant,Downregulated Proximity
Q9NY15,STAB1,1.184018857,0.001987102,0.067749609,Not Significant,Upregulated Proximity
Q9UBS4,DNAJB11,3.739290852,0.002034171,0.067749609,Not Significant,Upregulated Proximity
P34059,GALNS,5.25651791,0.00212432,0.06819174,Not Significant,Upregulated Proximity
P36551,CPOX,1.136585314,0.002157108,0.06819174,Not Significant,Upregulated Proximity
Q9NX63,CHCHD3,4.175135379,0.00216328,0.06819174,Not Significant,Upregulated Proximity
P49257,LMAN1,1.943630504,0.002220079,0.068953028,Not Significant,Upregulated Proximity
P07307,ASGR2,2.507005075,0.002567693,0.07447233,Not Significant,Upregulated Proximity
P61978,HNRNPK,-1.239703219,0.002568232,0.07447233,Not Significant,Downregulated Proximity
Q14692,BMS1,-0.814723828,0.002638293,0.07447233,Not Significant,Not Significant
Q14697,GANAB,1.236685741,0.002576869,0.07447233,Not Significant,Upregulated Proximity
Q15058,KIF14,4.303190807,0.002491968,0.07447233,Not Significant,Upregulated Proximity
Q8NBJ5,COLGALT1,1.121350475,0.002500004,0.07447233,Not Significant,Upregulated Proximity
Q969H8,MYDGF,1.283672908,0.002644614,0.07447233,Not Significant,Upregulated Proximity
O00461,GOLIM4,2.840692461,0.002812689,0.074690484,Not Significant,Upregulated Proximity
P06280,GLA,6.186121363,0.002732761,0.074690484,Not Significant,Upregulated Proximity
P07686,HEXB,4.263078123,0.002694009,0.074690484,Not Significant,Upregulated Proximity
Q00765,REEP5,1.382963605,0.002763212,0.074690484,Not Significant,Upregulated Proximity
Q96ER9,CCDC51,2.503402626,0.002829185,0.074690484,Not Significant,Upregulated Proximity
Q9UQ35,SRRM2,-1.01875691,0.002886224,0.075255607,Not Significant,Downregulated Proximity
Q08378,GOLGA3,4.032737996,0.002975942,0.076352975,Not Significant,Upregulated Proximity
Q9Y388,RBMX2,1.611574233,0.003000614,0.076352975,Not Significant,Upregulated Proximity
Q06033,ITIH3,5.264772009,0.003051882,0.076733024,Not Significant,Upregulated Proximity
P11021,HSPA5,0.535495308,0.00311696,0.077447281,Not Significant,Not Significant
Q02809,PLOD1,1.294247812,0.003256702,0.079978544,Not Significant,Upregulated Proximity
O00469,PLOD2,2.098436132,0.003478102,0.081782434,Not Significant,Upregulated Proximity
