FC,p_value,ProteinID,label,diffexpressed,selected_labels
3.005433333,0.010422172,A2RRP1,NBAS,UP,NA
3.900733333,0.101456924,A5D8W1,CFAP69,NO,NA
-0.3985,0.240053836,A6NHR9,SMCHD1,NO,NA
1.741133333,0.129364587,A8MXV4,NUDT19,NO,NA
-0.324666667,0.454038404,B5ME19,EIF3CL,NO,NA
3.373366667,0.000176745,O00115,DNASE2,UP,NA
1.2834,0.040397715,O00116,AGPS,UP,NA
0.776766667,0.077528052,O00148,DDX39A,NO,NA
0.193366667,0.809451636,O00154,ACOT7,NO,NA
0.839333333,0.449631116,O00159,MYO1C,NO,NA
1.926766667,0.189094577,O00161,SNAP23,NO,NA
2.100433333,0.014664739,O00165,HAX1,UP,NA
1.3878,0.013328262,O00186,STXBP3,UP,NA
0.049833333,0.858012772,O00217,NDUFS8,NO,NA
1.986833333,0.012478216,O00231,PSMD11,UP,NA
1.355266667,0.007617933,O00264,PGRMC1,UP,NA
0.827933333,0.080120164,O00267,SUPT5H,NO,NA
1.4516,0.065560277,O00299,CLIC1,NO,NA
1.7263,0.045234147,O00330,PDHX,UP,NA
4.273633333,0.005160689,O00410,IPO5,UP,NA
1.252733333,0.189541219,O00411,POLRMT,NO,NA
1.222066667,0.018224504,O00425,IGF2BP3,UP,NA
1.589566667,0.241306893,O00429,DNM1L,NO,NA
1.303166667,0.282655791,O00461,GOLIM4,NO,NA
3.3943,0.000120589,O00469,PLOD2,UP,NA
-0.5133,0.239258209,O00483,NDUFA4,NO,NA
0.2415,0.342371509,O00487,PSMD14,NO,NA
0.287633333,0.394723049,O00541,PES1,NO,NA
1.076,0.284242634,O00560,SDCBP,NO,NA
-0.705133333,0.23935389,O00566,MPHOSPH10,NO,NA
-0.2818,0.36214435,O00567,NOP56,NO,NA
0.250566667,0.066497442,O00571,DDX3X,NO,NA
5.903333333,0.002243631,O00584,RNASET2,UP,NA
3.062566667,0.103183062,O00592,PODXL,NO,NA
0.617233333,0.089822795,O00629,KPNA4,NO,NA
7.569766667,0.009076244,O00754,MAN2B1,UP,NA
1.010833333,0.290005611,O00767,SCD,NO,NA
0.674433333,0.328590622,O14519,CDK2AP1,NO,NA
3.453866667,0.038700392,O14556,GAPDHS,UP,NA
-0.4155,0.678195861,O14602,EIF1AY,NO,NA
0.063666667,0.858490143,O14654,IRS4,NO,NA
3.818866667,0.000352925,O14656,TOR1A,UP,NA
3.374033333,0.013853933,O14672,ADAM10,UP,NA
0.258466667,0.84940053,O14681,EI24,NO,NA
0.9278,0.040599504,O14734,ACOT8,NO,NA
1.446066667,0.339000542,O14744,PRMT5,NO,NA
6.760266667,0.037966099,O14773,TPP1,UP,NA
-0.636833333,0.187023206,O14776,TCERG1,NO,NA
-0.336433333,0.638664546,O14802,POLR3A,NO,NA
0.932233333,0.311185051,O14818,PSMA7,NO,NA
1.8158,0.064527194,O14828,SCAMP3,NO,NA
-0.206766667,0.880646335,O14874,BCKDK,NO,NA
1.0442,0.050308976,O14880,MGST3,NO,NA
2.003166667,0.057349175,O14925,TIMM23,NO,NA
3.617866667,0.002082688,O14936,CASK,UP,NA
-1.3941,0.181564446,O14949,UQCRQ,NO,NA
-0.026033333,0.898819662,O14979,HNRNPDL,NO,NA
2.0637,0.016528786,O14980,XPO1,UP,NA
0.409033333,0.012235776,O15020,SPTBN2,NO,NA
6.4459,0.010249101,O15031,PLXNB2,UP,NA
-0.334633333,0.539735334,O15042,U2SURP,NO,NA
2.863066667,0.015175838,O15067,PFAS,UP,NA
1.184066667,0.193801113,O15091,KIAA0391,NO,NA
5.460366667,0.002959082,O15118,NPC1,UP,NA
0.713033333,0.552687657,O15121,DEGS1,NO,NA
0.945166667,0.52663124,O15126,SCAMP1,NO,NA
-0.475933333,0.758042911,O15127,SCAMP2,NO,NA
-0.844033333,0.555281397,O15144,ARPC2,NO,NA
1.7935,0.170556395,O15145,ARPC3,NO,NA
0.154766667,0.854730974,O15160,POLR1C,NO,NA
0.473066667,0.354414689,O15173,PGRMC2,NO,NA
-0.3758,0.523828448,O15213,WDR46,NO,NA
-0.436666667,0.184133319,O15226,NKRF,NO,NA
1.316033333,0.095482134,O15228,GNPAT,NO,NA
-0.023866667,0.968973625,O15235,MRPS12,NO,NA
1.622966667,0.034496794,O15260,SURF4,UP,NA
3.033866667,0.002068779,O15294,OGT,UP,NA
0.4426,0.654824601,O15371,EIF3D,NO,NA
0.585,0.501414908,O15381,NVL,NO,NA
2.052966667,0.055488425,O15382,BCAT2,NO,NA
1.6879,0.109486717,O15400,STX7,NO,NA
-1.2856,0.543938082,O15446,CD3EAP,NO,NA
4.2495,0.035740313,O15460,P4HA2,UP,NA
-0.996433333,0.019852119,O43143,DHX15,NO,NA
1.4993,0.40562302,O43148,RNMT,NO,NA
-1.0188,0.496490149,O43159,RRP8,NO,NA
1.761266667,0.014488286,O43172,PRPF4,UP,NA
1.034733333,0.066670183,O43175,PHGDH,NO,NA
1.575466667,0.287281302,O43242,PSMD3,NO,NA
2.8678,0.105149916,O43264,ZW10,NO,NA
-1.9396,0.005375425,O43290,SART1,DOWN,NA
0.327933333,0.70053991,O43324,EEF1E1,NO,NA
-0.064133333,0.114562288,O43390,HNRNPR,NO,NA
-0.468766667,0.073826703,O43395,PRPF3,NO,NA
1.399566667,0.111154872,O43399,TPD52L2,NO,NA
2.889233333,0.156833315,O43402,EMC8,NO,NA
-0.197333333,0.748388192,O43447,PPIH,NO,NA
2.514866667,0.000205476,O43448,KCNAB3,UP,NA
3.670866667,2.33E-05,O43464,HTRA2,UP,NA
2.420966667,0.10929845,O43488,AKR7A2,NO,NA
1.062066667,0.016340697,O43491,EPB41L2,UP,NA
4.0135,0.004806857,O43567,RNF13,UP,NA
0.7819,0.00108601,O43615,TIMM44,NO,NA
3.135933333,0.021103142,O43657,TSPAN6,UP,NA
-0.431033333,0.452127762,O43660,PLRG1,NO,NA
2.453133333,0.27978484,O43674,NDUFB5,NO,NA
-1.753266667,0.049332097,O43678,NDUFA2,DOWN,NA
1.8514,0.013599027,O43684,BUB3,UP,NA
2.3219,0.000720945,O43707,ACTN4,UP,NA
1.511133333,0.127875137,O43776,NARS,NO,NA
-0.1703,0.684782199,O43795,MYO1B,NO,NA
0.010266667,0.981447892,O43809,NUDT21,NO,NA
0.249333333,0.582004082,O43818,RRP9,NO,NA
2.343866667,0.017196121,O43819,SCO2,UP,NA
-0.923033333,0.469387112,O43823,AKAP8,NO,NA
0.946066667,0.015217906,O43837,IDH3B,NO,NA
3.3013,7.45E-06,O43852,CALU,UP,NA
2.018966667,0.055944262,O43865,AHCYL1,NO,NA
1.549533333,0.261268972,O60216,RAD21,NO,NA
2.836733333,0.083994962,O60220,TIMM8A,NO,NA
3.0176,0.018453075,O60245,PCDH7,UP,NA
-0.0156,0.962530755,O60264,SMARCA5,NO,NA
4.7987,7.94E-05,O60279,SUSD5,UP,NA
-0.057733333,0.942645034,O60287,URB1,NO,NA
1.677333333,0.138497333,O60306,AQR,NO,NA
2.8862,0.000751845,O60313,OPA1,UP,NA
0.303433333,0.320092043,O60341,KDM1A,NO,NA
0.913633333,0.251171083,O60488,ACSL4,NO,NA
-0.1301,0.438725863,O60506,SYNCRIP,NO,NA
-0.0542,0.866629292,O60508,CDC40,NO,NA
1.679866667,0.075865973,O60518,RANBP6,NO,NA
2.914866667,0.000366979,O60568,PLOD3,UP,NA
6.3405,0.007381234,O60637,TSPAN3,UP,NA
-0.089333333,0.652069537,O60684,KPNA6,NO,NA
1.034266667,0.040698251,O60716,CTNND1,UP,NA
1.261133333,0.238021465,O60749,SNX2,NO,NA
1.162166667,0.054600323,O60762,DPM1,NO,NA
1.5227,0.001231002,O60763,USO1,UP,NA
-1.014933333,0.178346342,O60783,MRPS14,NO,NA
-0.0867,0.836864516,O60784,TOM1,NO,NA
-0.510733333,0.539293257,O60814,HIST1H2BK,NO,NA
-1.918066667,0.032223917,O60828,PQBP1,DOWN,NA
2.5601,0.164261017,O60830,TIMM17B,NO,NA
1.163433333,0.237258362,O60831,PRAF2,NO,NA
-0.515866667,0.229538128,O60832,DKC1,NO,NA
-1.1567,0.352619349,O60841,EIF5B,NO,NA
1.616066667,0.209589858,O60884,DNAJA2,NO,NA
0.196,0.759790908,O60885,BRD4,NO,NA
0.3421,0.712766479,O60934,NBN,NO,NA
1.0159,0.166484768,O75054,IGSF3,NO,NA
1.9485,0.037214141,O75083,WDR1,UP,NA
1.678366667,0.062362845,O75127,PTCD1,NO,NA
0.249733333,0.867590935,O75151,PHF2,NO,NA
-0.115966667,0.761955288,O75152,ZC3H11A,NO,NA
-0.1435,0.818517142,O75165,DNAJC13,NO,NA
0.395866667,0.644438531,O75251,NDUFS7,NO,NA
1.2422,0.007578738,O75306,NDUFS2,UP,NA
0.625533333,0.709950062,O75323,NIPSNAP2,NO,NA
-0.495633333,0.347826768,O75367,H2AFY,NO,NA
1.519166667,0.016216131,O75369,FLNB,UP,NA
0.802733333,0.213580443,O75380,NDUFS6,NO,NA
1.984333333,0.249594953,O75381,PEX14,NO,NA
0.754666667,0.00796829,O75390,CS,NO,NA
-0.830666667,0.013971315,O75394,MRPL33,NO,NA
-0.584466667,0.098390043,O75400,PRPF40A,NO,NA
4.006333333,0.050608636,O75431,MTX2,NO,NA
1.134766667,0.000944481,O75439,PMPCB,UP,NA
0.459033333,0.011884091,O75448,MED24,NO,NA
-0.164266667,0.627152545,O75475,PSIP1,NO,NA
1.670933333,0.001067857,O75489,NDUFS3,UP,NA
-0.050866667,0.866982101,O75494,SRSF10,NO,NA
1.235266667,0.047771359,O75521,ECI2,UP,NA
1.462866667,0.235769582,O75530,EED,NO,NA
-0.3159,0.388322529,O75531,BANF1,NO,NA
0.2905,0.514086662,O75533,SF3B1,NO,NA
0.570733333,0.456158972,O75534,CSDE1,NO,NA
0.409333333,0.793091459,O75607,NPM3,NO,NA
1.043933333,0.155971349,O75608,LYPLA1,NO,NA
0.781133333,0.019526382,O75616,ERAL1,NO,NA
3.6832,5.83E-05,O75629,CREG1,UP,NA
-0.1314,0.639732058,O75643,SNRNP200,NO,NA
0.517433333,0.686255319,O75648,TRMU,NO,NA
-0.326433333,0.737341851,O75683,SURF6,NO,NA
-2.1429,0.069609634,O75691,UTP20,NO,NA
2.639933333,0.001082431,O75694,NUP155,UP,NA
0.063533333,0.970019581,O75695,RP2,NO,NA
3.051733333,2.89E-06,O75718,CRTAP,UP,NA
2.891966667,0.145360697,O75746,SLC25A12,NO,NA
4.240333333,0.02710281,O75787,ATP6AP2,UP,NA
-0.418966667,0.547630672,O75794,CDC123,NO,NA
-2.065666667,0.215697387,O75821,EIF3G,NO,NA
-0.167866667,0.738829519,O75844,ZMPSTE24,NO,NA
1.329966667,0.404546184,O75845,SC5D,NO,NA
2.749733333,0.231230963,O75880,SCO1,NO,NA
0.562033333,0.581245729,O75915,ARL6IP5,NO,NA
-1.156033333,0.271239293,O75934,BCAS2,NO,NA
-0.257066667,0.864555492,O75947,ATP5H,NO,NA
3.2348,0.006908869,O75955,FLOT1,UP,NA
4.042566667,0.00425391,O75976,CPD,UP,NA
-0.772466667,0.339318143,O76021,RSL1D1,NO,NA
1.0946,0.007617046,O76031,CLPX,UP,NA
4.3,0.000326235,O76094,SRP72,UP,NA
-1.233766667,0.011307782,O94762,RECQL5,DOWN,NA
0.281266667,0.728120304,O94776,MTA2,NO,NA
4.943333333,0.004175282,O94813,SLIT2,UP,NA
1.412766667,0.123076177,O94826,TOMM70,NO,NA
2.061633333,0.000650547,O94874,UFL1,UP,NA
0.350866667,0.831289639,O94880,PHF14,NO,NA
1.869766667,0.000424966,O94905,ERLIN2,UP,NA
-0.104966667,0.764665365,O94906,PRPF6,NO,NA
1.858533333,1.99E-05,O94925,GLS,UP,NA
2.0248,0.133588904,O94973,AP2A2,NO,NA
-0.260266667,0.209613144,O94983,CAMTA2,NO,NA
2.0348,0.090962749,O94991,SLITRK5,NO,NA
1.196866667,0.180169378,O95059,RPP14,NO,NA
-0.795833333,0.151827553,O95104,SCAF4,NO,NA
2.145533333,0.185298464,O95139,NDUFB6,NO,NA
3.278166667,0.002641541,O95140,MFN2,UP,NA
-0.3645,0.3335444,O95168,NDUFB4,NO,NA
0.4682,0.654858135,O95182,NDUFA7,NO,NA
1.409533333,0.1089201,O95197,RTN3,NO,NA
2.3993,0.18046416,O95202,LETM1,NO,NA
-0.762966667,0.284808648,O95232,LUC7L3,NO,NA
1.536566667,0.209249498,O95249,GOSR1,NO,NA
-1.9567,0.349147075,O95251,KAT7,NO,NA
2.6544,0.118929755,O95292,VAPB,NO,NA
2.9825,0.006821217,O95297,MPZL1,UP,NA
0.621666667,0.465309177,O95298,NDUFC2,NO,NA
1.2479,0.017454388,O95299,NDUFA10,UP,NA
2.7826,0.001001989,O95302,FKBP9,UP,NA
1.7149,0.166006756,O95373,IPO7,NO,NA
-0.9983,0.23812842,O95433,AHSA1,NO,NA
