ProteinID,Gene,Description,parental_1 Intensity,parental_2 Intensity,parental_3 Intensity,SRB1_1 Intensity,SRB1_2 Intensity,SRB1_3 Intensity
contaminant_GR78_LYCES owl|P49118| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,,contaminant_GR78_LYCES owl|P49118| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,33.4565,33.4772,33.3932,32.9565,33.338,32.891
contaminant_GR78_SCHPO owl|P36604| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,,contaminant_GR78_SCHPO owl|P36604| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,31.5381,27.7942,31.8916,31.87,30.0789,32.8117
contaminant_GR78_YEAST owl|P16474| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,,contaminant_GR78_YEAST owl|P16474| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,28.7261,25.1626,24.3567,23.7152,23.6963,23.739
contaminant_INT-STD1 BSA,,contaminant_INT-STD1 BSA,26.814,25.9651,25.5755,27.9812,27.8584,27.9615
contaminant_KERATIN09,,contaminant_KERATIN09,37.1075,37.09,37.148,37.0228,37.2083,37.2063
contaminant_KERATIN10,,contaminant_KERATIN10,25.1438,26.5651,26.6653,27.1057,27.1383,26.1597
contaminant_TRYPSIN,,contaminant_TRYPSIN,34.6057,34.5582,34.5736,34.2953,34.0651,34.102
contaminant_UBIQUITIN06,,contaminant_UBIQUITIN06,29.496,28.9221,29.0235,24.1146,29.3869,26.3644
contaminant_UBIQUITIN10,,contaminant_UBIQUITIN10,29.7181,29.7283,29.8903,25.9346,26.7752,25.5406
contaminant_UBIQUITIN11,,contaminant_UBIQUITIN11,23.7363,24.2621,24.5154,25.2337,24.8027,25.2427
A0AV96,RBM47,RNA-binding protein 47,25.6478,25.6014,25.4257,24.9465,25.2635,24.8367
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,30.1502,29.7158,30.0825,28.4899,29.6391,29.1385
A0FGR8,ESYT2,Extended synaptotagmin-2,29.6849,29.6299,28.7471,28.8105,29.7822,29.174
A0MZ66,SHTN1,Shootin-1,31.1599,31.3007,31.5705,27.5633,28.093,27.913
A0PJW6,TMEM223,Transmembrane protein 223,26.2046,26.3265,26.7739,25.3608,25.2898,26.2155
