ProteinID,Gene,Description,control_1 Intensity,control_2 Intensity,control_3 Intensity,treatment_1 Intensity,treatment_2 Intensity,treatment_3 Intensity
contaminant_GR78_PLAFA owl|P12794| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG (GRP 78) (IMMUNOGLOBULIN...,,owl|P12794|,26.8005,26.4727,27.3733,27.0297,27.5079,27.3924
contaminant_GR78_SCHPO owl|P36604| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,,owl|P36604|,22.4547,22.2553,21.8954,23.8667,24.1541,25.1818
contaminant_INT-STD1 BSA,,BSA,30.7216,30.8016,30.6077,31.0659,30.5901,29.5535
contaminant_KERATIN04,,contaminant_KERATIN04,29.2086,28.1736,22.6311,21.4245,21.7017,20.9958
contaminant_KERATIN09,,contaminant_KERATIN09,30.5945,30.6074,30.3622,32.206,32.2082,32.1266
contaminant_KERATIN10,,contaminant_KERATIN10,29.9344,30.4305,30.169,30.7092,30.8123,30.7997
contaminant_KERATIN12,,contaminant_KERATIN12,25.5866,24.914,26.8325,25.8122,26.0466,24.6589
contaminant_KERATIN14,,contaminant_KERATIN14,26.4764,25.4595,26.5683,25.4931,24.9984,26.0715
contaminant_KERATIN16,,contaminant_KERATIN16,27.3424,28.0583,28.0107,25.6244,26.7983,27.2851
contaminant_KERATIN17,,contaminant_KERATIN17,29.1722,29.853,29.7321,28.3004,28.9075,28.0645
contaminant_KERATIN22,,contaminant_KERATIN22,31.3402,30.9442,31.6637,28.9642,30.2283,31.0686
"contaminant_NRL_1MCOH owl|| Immunoglobulin g1 (igg1) (mcg) with a hinge deletion, chain H...",,owl||,21.5032,21.3651,22.8107,24.3295,24.6882,24.5455
contaminant_TRYPSIN,,contaminant_TRYPSIN,37.7246,37.58,37.5121,36.4177,36.5294,36.6066
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,21.4131,22.6369,22.6326,22.7462,24.3118,22.3036
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,23.4106,22.0229,22.3243,23.0794,22.1776,21.7805
A6NCS6,C2orf72,Uncharacterized protein C2orf72,21.8452,25.2634,24.2961,25.4741,22.9695,24.3233
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,23.4578,23.3486,21.6147,22.82,23.7902,23.2092
B5ME19,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,28.3452,28.4521,27.9836,28.5235,28.2619,28.3052
O00115,DNASE2,Deoxyribonuclease-2-alpha,22.8222,24.2929,22.2144,26.8815,26.8391,28.3407
O00151,PDLIM1,PDZ and LIM domain protein 1,28.6392,28.7613,29.0651,28.7569,28.6419,28.3944
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,22.0863,23.3448,22.2118,22.5098,23.273,21.8896
O00165,HAX1,HCLS1-associated protein X-1,20.9035,21.3596,21.6025,23.334,22.9045,23.74
O00168,FXYD1,Phospholemman,21.8506,20.7,23.6132,23.2455,20.8696,24.0833
O00170,AIP,AH receptor-interacting protein,23.4848,22.6794,21.6085,25.2938,25.2936,24.9411
O00186,STXBP3,Syntaxin-binding protein 3,21.8467,21.4498,22.1492,24.4775,23.4484,24.282
O00214,LGALS8,Galectin-8,22.2913,20.9347,22.6792,23.1374,23.6734,22.7037
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",24.5844,25.2992,25.5872,25.4397,25.2054,25.1061
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,25.4064,25.3666,25.0772,26.9608,26.5912,26.9757
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,24.1558,24.2473,23.6446,25.7634,24.9599,24.9948
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,25.9493,27.05,26.3206,27.1716,27.0451,27.2121
O00267,SUPT5H,Transcription elongation factor SPT5,22.4705,24.6965,24.6559,25.2406,21.9697,24.2293
O00299,CLIC1,Chloride intracellular channel protein 1,29.0042,29.2204,29.3772,29.3689,29.0759,29.2119
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,25.0753,24.6432,24.031,25.8604,25.3756,24.7292
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",26.6295,26.9873,27.2188,27.0902,27.149,26.9144
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,28.693,28.668,28.4262,28.8992,28.3708,28.3264
O00461,GOLIM4,Golgi integral membrane protein 4,21.6648,22.0107,21.667,24.8344,24.0896,25.0091
O00462,MANBA,Beta-mannosidase,20.9929,22.7318,22.392,25.5085,25.8024,25.2503
O00468,AGRN,Agrin,28.037,28.0578,28.4603,30.318,30.2269,30.1251
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",28.8376,28.8908,28.7428,30.0368,30.3287,29.9909
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,26.4846,26.2526,26.0887,26.1642,25.8432,25.9109
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,21.6261,20.3587,22.1852,26.0697,26.6,26.3625
O00505,KPNA3,Importin subunit alpha-4,23.4532,23.5931,23.3421,23.7826,24.0601,23.7951
O00506,STK25,Serine/threonine-protein kinase 25,24.2435,23.8542,24.9501,25.2289,23.5271,25.1306
O00541,PES1,Pescadillo homolog,25.9855,26.0866,25.8719,26.6198,26.535,27.5556
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,21.5473,24.0345,24.0134,21.7502,21.5193,21.7795
O00560,SDCBP,Syntenin-1,22.4464,21.435,20.7241,23.2063,24.1888,23.1233
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,21.2947,22.1189,21.7774,22.9783,23.207,21.6316
O00567,NOP56,Nucleolar protein 56,26.6842,27.3302,26.2861,27.5662,27.4944,27.3749
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,28.9692,28.742,28.4203,28.7659,28.5413,28.7205
O00584,RNASET2,Ribonuclease T2,25.6637,26.6062,26.5279,31.0159,31.1771,30.9111
O00629,KPNA4,Importin subunit alpha-3,22.5386,21.8755,22.4923,22.3166,25.2,24.9024
O00743,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,22.0489,23.1505,23.4245,23.3837,23.6005,22.8555
O00754,MAN2B1,Lysosomal alpha-mannosidase,22.9316,25.144,21.2844,30.2078,30.2714,30.1193
O00764,PDXK,Pyridoxal kinase,23.3397,24.5813,24.347,23.5588,22.5387,22.7687
O00767,SCD,Acyl-CoA desaturase,21.6641,24.1908,24.0637,24.5667,23.7084,24.0644
O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",20.7411,21.9747,21.2723,25.9727,25.9351,25.0564
O14579,COPE,Coatomer subunit epsilon,25.9981,25.6229,25.3702,26.9593,26.1353,26.6862
