ProteinID,Gene,Description,control_1 Intensity,control_2 Intensity,control_3 Intensity,treatment_1 Intensity,treatment_2 Intensity,treatment_3 Intensity
contaminant_GR78_PLAFO owl|Q05866| 78 KD GLUCOSE REGULATED PROTEIN HOMOLOG PRECURSOR (GRP 78) (IMMUNOGLOBULIN...,,owl|Q05866|,26.4023,26.0612,26.2288,27.2474,27.503,27.8726
contaminant_INT-STD1 BSA,,BSA,34.2082,36.0645,35.3108,37.2463,34.0636,34.1459
contaminant_KERATIN05,,contaminant_KERATIN05,26.2269,28.4168,28.5231,27.1569,27.6684,27.4281
contaminant_KERATIN16,,contaminant_KERATIN16,22.6059,21.9254,24.513,27.6887,21.1923,25.7258
contaminant_KERATIN19,,contaminant_KERATIN19,24.6879,25.0543,24.7962,25.07,24.588,24.7367
contaminant_KERATIN22,,contaminant_KERATIN22,21.6025,23.5421,24.1926,21.0747,21.6521,23.6523
contaminant_TRYPSIN,,contaminant_TRYPSIN,35.2725,37.0516,36.0671,35.0698,35.4743,35.8096
contaminant_UBIQUITIN09,,contaminant_UBIQUITIN09,25.1942,24.8351,24.6496,25.7804,25.1046,24.638
A2RRP1,NBAS,Neuroblastoma-amplified sequence,21.5075,21.7651,23.5059,25.5398,24.8613,25.3937
A5D8W1,CFAP69,Cilia- and flagella-associated protein 69,21.9631,22.3928,23.0508,28.2399,22.7433,28.1257
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,22.9934,22.6862,22.2236,22.5874,21.9719,22.1484
A8MXV4,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,24.0757,22.2055,23.1717,23.4497,25.3511,25.8755
B5ME19,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,28.3509,28.3176,28.214,28.6728,27.593,27.6427
O00115,DNASE2,Deoxyribonuclease-2-alpha,25.8483,25.4871,25.3978,28.5693,29.2919,28.9921
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",28.5024,27.4624,27.0881,28.8655,29.1107,28.9269
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,26.8156,25.9012,26.847,27.1078,27.487,27.2993
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,23.0355,22.5838,22.5453,24.1368,23.0088,21.5991
O00159,MYO1C,Unconventional myosin-Ic,26.4311,23.0952,24.78,25.0544,25.8226,25.9473
O00161,SNAP23,Synaptosomal-associated protein 23,24.6051,21.322,21.0887,25.0623,24.2053,23.5285
O00165,HAX1,HCLS1-associated protein X-1,27.1649,25.7689,25.9279,27.8935,28.5156,28.7539
O00186,STXBP3,Syntaxin-binding protein 3,25.3259,25.1114,25.5496,26.4561,27.3197,26.3745
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",22.7122,23.3526,23.0299,23.0764,22.7642,23.4036
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,25.2844,24.8007,24.5859,27.6916,26.3699,26.57
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,31.1794,30.4317,30.8847,32.3089,32.3901,31.8626
O00267,SUPT5H,Transcription elongation factor SPT5,26.0506,25.1053,25.0503,25.9807,26.2302,26.4791
O00299,CLIC1,Chloride intracellular channel protein 1,24.8696,24.0625,24.2652,26.8934,25.407,25.2517
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",24.5778,22.7005,23.2307,25.4698,24.7905,25.4276
O00410,IPO5,Importin-5,26.0792,23.7955,23.9651,29.1873,29.0416,28.4318
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",24.1218,23.4075,23.0651,26.244,24.0587,24.0499
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,24.3872,24.7144,24.8016,26.2498,25.2887,26.0309
O00429,DNM1L,Dynamin-1-like protein,20.9702,22.4389,23.0835,25.6926,22.6404,22.9283
O00461,GOLIM4,Golgi integral membrane protein 4,21.9688,21.7799,21.5867,21.5916,24.6922,22.9611
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",26.7003,26.2616,26.9948,30.0779,29.8879,30.1738
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,27.2138,27.3586,27.0315,27.3563,26.5825,26.1252
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,23.1296,22.7416,22.543,23.3081,23.0182,22.8124
O00541,PES1,Pescadillo homolog,29.2352,28.3608,28.513,28.7615,29.2313,28.9791
O00560,SDCBP,Syntenin-1,21.9648,23.2553,21.176,22.1835,23.0988,24.3418
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,27.636,27.0939,27.1741,25.6388,27.1687,26.9811
O00567,NOP56,Nucleolar protein 56,31.3225,30.5459,31.0054,30.3773,30.9036,30.7475
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,30.2642,30.0758,30.2538,30.6048,30.3929,30.3478
O00584,RNASET2,Ribonuclease T2,21.6808,22.5077,24.5011,28.6652,28.6557,29.0787
